,game.away.abbr,game.away.current_pitcher.era,game.away.current_pitcher.first_name,game.away.current_pitcher.id,game.away.current_pitcher.jersey_number,game.away.current_pitcher.last_name,game.away.current_pitcher.loss,game.away.current_pitcher.preferred_name,game.away.current_pitcher.win,game.away.errors,game.away.events,game.away.hits,game.away.id,game.away.loss,game.away.market,game.away.name,game.away.probable_pitcher.era,game.away.probable_pitcher.first_name,game.away.probable_pitcher.id,game.away.probable_pitcher.jersey_number,game.away.probable_pitcher.last_name,game.away.probable_pitcher.loss,game.away.probable_pitcher.preferred_name,game.away.probable_pitcher.win,game.away.runs,game.away.scoring,game.away.starting_pitcher.era,game.away.starting_pitcher.first_name,game.away.starting_pitcher.id,game.away.starting_pitcher.jersey_number,game.away.starting_pitcher.last_name,game.away.starting_pitcher.loss,game.away.starting_pitcher.preferred_name,game.away.starting_pitcher.win,game.away.win,game.away_team,game.broadcast.network,game.coverage,game.day_night,game.double_header,game.game_number,game.home.abbr,game.home.current_pitcher.era,game.home.current_pitcher.first_name,game.home.current_pitcher.id,game.home.current_pitcher.jersey_number,game.home.current_pitcher.last_name,game.home.current_pitcher.loss,game.home.current_pitcher.preferred_name,game.home.current_pitcher.win,game.home.errors,game.home.events,game.home.hits,game.home.id,game.home.loss,game.home.market,game.home.name,game.home.probable_pitcher.era,game.home.probable_pitcher.first_name,game.home.probable_pitcher.id,game.home.probable_pitcher.jersey_number,game.home.probable_pitcher.last_name,game.home.probable_pitcher.loss,game.home.probable_pitcher.preferred_name,game.home.probable_pitcher.win,game.home.runs,game.home.scoring,game.home.starting_pitcher.era,game.home.starting_pitcher.first_name,game.home.starting_pitcher.id,game.home.starting_pitcher.jersey_number,game.home.starting_pitcher.last_name,game.home.starting_pitcher.loss,game.home.starting_pitcher.preferred_name,game.home.starting_pitcher.win,game.home.win,game.home_team,game.id,game.outcome.count.balls,game.outcome.count.half_over,game.outcome.count.inning,game.outcome.count.inning_half,game.outcome.count.outs,game.outcome.count.strikes,game.outcome.current_inning,game.outcome.current_inning_half,game.outcome.hitter.ab_over,game.outcome.hitter.first_name,game.outcome.hitter.id,game.outcome.hitter.jersey_number,game.outcome.hitter.last_name,game.outcome.hitter.outcome_id,game.outcome.hitter.preferred_name,game.outcome.pitcher.first_name,game.outcome.pitcher.id,game.outcome.pitcher.jersey_number,game.outcome.pitcher.last_name,game.outcome.pitcher.pitch_speed,game.outcome.pitcher.pitch_type,game.outcome.pitcher.pitch_x,game.outcome.pitcher.pitch_y,game.outcome.pitcher.pitch_zone,game.outcome.pitcher.preferred_name,game.outcome.runners,game.outcome.type,game.rescheduled,game.scheduled,game.status,game.venue.address,game.venue.capacity,game.venue.city,game.venue.country,game.venue.field_orientation,game.venue.id,game.venue.location.lat,game.venue.location.lng,game.venue.market,game.venue.name,game.venue.stadium_type,game.venue.state,game.venue.surface,game.venue.zip,game.weather.current_conditions.cloud_cover,game.weather.current_conditions.condition,game.weather.current_conditions.dew_point_f,game.weather.current_conditions.humidity,game.weather.current_conditions.obs_time,game.weather.current_conditions.temp_f,game.weather.current_conditions.wind.direction,game.weather.current_conditions.wind.speed_mph,game.weather.forecast.cloud_cover,game.weather.forecast.condition,game.weather.forecast.dew_point_f,game.weather.forecast.humidity,game.weather.forecast.obs_time,game.weather.forecast.temp_f,game.weather.forecast.wind.direction,game.weather.forecast.wind.speed_mph
0,WSH,,,,,,,,,0,,0,d89bed32-3aee-4407-99e3-4103641b999a,10,Washington,Nationals,2.634,Jeremy,09bb7528-d8a1-4d91-b28e-53a35ce3f678,58,Hellickson,0.0,Jeremy,2.0,0,,,,,,,,,,10,d89bed32-3aee-4407-99e3-4103641b999a,SportsNet RM,full,N,False,1,COL,,,,,,,,,0,,0,29dd9a87-5bcc-4774-80c3-7f50d985068b,13,Colorado,Rockies,11.0,Tyler,a920073f-154b-4173-a8ff-aed0b2c22711,44,Anderson,2.0,Tyler,0.0,0,,,,,,,,,,9,29dd9a87-5bcc-4774-80c3-7f50d985068b,509cc727-0828-464b-9c99-73f3d065f397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-23T00:40:00+00:00,scheduled,2001 Blake Street,50398,Denver,USA,N,85dd5cd6-7324-4b52-a1cc-68f816d0cdce,39.7559779,-104.9933491,Colorado,Coors Field,outdoor,CO,grass,80205,,,,,,,,,47.0,Partly cloudy,32.0,63.0,2019-04-22T11:38:10.000Z,44.0,NNE,5.0
1,MIN,,,,,,,,,0,,0,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,7,Minnesota,Twins,4.765,Jacob,2acb215d-2d2a-4b75-89b0-1f9d51093b07,12,Odorizzi,2.0,Jake,1.0,0,,,,,,,,,,12,aa34e0ed-f342-4ec6-b774-c79b47b60e2d,SportsNet SW,full,N,False,1,HOU,,,,,,,,,0,,0,eb21dadd-8f10-4095-8bf3-dfb3b779f107,8,Houston,Astros,3.938,Bradley,cf5e31cf-9fe7-4153-bcda-0e21423b9ed0,41,Peacock,0.0,Brad,2.0,0,,,,,,,,,,13,eb21dadd-8f10-4095-8bf3-dfb3b779f107,adce996a-5a0c-48a4-aff2-6b5f068375c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-23T00:10:00+00:00,scheduled,501 Crawford Street,41168,Houston,USA,N,f0600f04-1386-4c61-a412-804960c46cb1,29.7577058,-95.35453989999999,Houston,Minute Maid Park,retractable,TX,grass,77002,,,,,,,,,40.0,Partly cloudy,61.0,59.0,2019-04-22T11:38:11.000Z,78.0,SSE,13.0
2,KC,2.641,Brad,12901252-d204-49f6-8af2-7446bf4b0a4f,56,Keller,1.0,Brad,2.0,0,"[{'hitter_id': '1018c599-6053-4ed9-8952-b0e9a1519677', 'pitcher_id': '5bccd611-800b-4333-8292-13d0564db285', 'inning': 1, 'inning_half': 'T', 'type': 'pitch', 'hitter_outcome': 'aHR', 'id': '87d9edf3-a19e-442d-be01-1e317378d8ae', 'runners': [{'starting_base': 0, 'first_name': 'Alex', 'last_name': 'Gordon', 'preferred_name': 'Alex', 'jersey_number': '4', 'id': '1018c599-6053-4ed9-8952-b0e9a1519677'}]}]",3,833a51a9-0d84-410f-bd77-da08c3e5e26e,15,Kansas City,Royals,2.641,Brad,12901252-d204-49f6-8af2-7446bf4b0a4f,56,Keller,1.0,Brad,2.0,1,"[{'number': 1, 'sequence': 1, 'runs': 1, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 4, 'sequence': 4, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}]",2.641,Brad,12901252-d204-49f6-8af2-7446bf4b0a4f,56,Keller,1.0,Brad,2.0,7,833a51a9-0d84-410f-bd77-da08c3e5e26e,SUN,full,N,False,1,TB,3.259,Yonny,5bccd611-800b-4333-8292-13d0564db285,72,Chirinos,0.0,Yonny,3.0,0,"[{'hitter_id': 'c91b7458-14bf-4a62-b147-c47ad2f19396', 'pitcher_id': '12901252-d204-49f6-8af2-7446bf4b0a4f', 'inning': 1, 'inning_half': 'B', 'type': 'pitch', 'hitter_outcome': 'oSF', 'id': '629b2e6e-d432-498f-9241-8881bc2203b1', 'runners': [{'starting_base': 3, 'first_name': 'Thomas', 'last_name': 'Pham', 'preferred_name': 'Tommy', 'jersey_number': '29', 'id': 'a8ff76c9-1554-421c-baed-2a22fb00ad71'}]}]",2,bdc11650-6f74-49c4-875e-778aeb7632d9,8,Tampa Bay,Rays,3.259,Yonny,5bccd611-800b-4333-8292-13d0564db285,72,Chirinos,0.0,Yonny,3.0,1,"[{'number': 1, 'sequence': 1, 'runs': 1, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 4, 'sequence': 4, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}]",3.259,Yonny,5bccd611-800b-4333-8292-13d0564db285,72,Chirinos,0.0,Yonny,3.0,14,bdc11650-6f74-49c4-875e-778aeb7632d9,19623a99-ad36-4cfd-bbd2-8d038fdbbdf0,1.0,False,4.0,B,0.0,1.0,4.0,B,False,Yandy,c91b7458-14bf-4a62-b147-c47ad2f19396,2,Díaz,bB,Yandy,Brad,12901252-d204-49f6-8af2-7446bf4b0a4f,56,Keller,93.0,FA,-94.0,-152.0,12.0,Brad,"[{'preferred_name': 'Tommy', 'first_name': 'Thomas', 'last_name': 'Pham', 'jersey_number': '29', 'id': 'a8ff76c9-1554-421c-baed-2a22fb00ad71', 'outcome_id': '', 'starting_base': 1, 'ending_base': 1, 'out': False}]",pitch,,2019-04-22T23:10:00+00:00,inprogress,One Tropicana Drive,42735,St. Petersburg,USA,NE,3aaaf4af-0f8c-49c1-8bf1-1780bb5a5f5c,27.768188,-82.653408,Tampa Bay,Tropicana Field,indoor,FL,turf,33705,0.0,Clear,48.0,34.0,2019-04-23T00:02:25.000Z,79.0,ENE,6.0,0.0,Sunny,48.0,34.0,2019-04-22T23:20:51.000Z,79.0,ENE,6.0
3,NYY,,,,,,,,,0,,0,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,10,New York,Yankees,7.232,James,9760f1d6-9560-45ed-bc73-5ec2205905a2,34,Happ,2.0,J.A.,0.0,0,,,,,,,,,,11,a09ec676-f887-43dc-bbb3-cf4bbaee9a18,MLB Network,full,N,False,1,LAA,,,,,,,,,0,,0,4f735188-37c8-473d-ae32-1f7e34ccf892,13,Los Angeles,Angels,9.643,Matthew,a05b7bca-ea4b-4e56-99de-293371efc979,33,Harvey,2.0,Matt,0.0,0,,,,,,,,,,9,4f735188-37c8-473d-ae32-1f7e34ccf892,a66dd6d8-76ab-4cef-918c-74042a7a8808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-23T02:07:00+00:00,scheduled,2000 Gene Autry Way,45050,Anaheim,USA,NE,60732da9-ad03-4feb-9a36-aee3e98c7a2b,33.7996617,-117.8834384,Los Angeles,Angel Stadium of Anaheim,outdoor,CA,grass,92806,,,,,,,,,2.0,Partly cloudy,51.0,51.0,2019-04-22T11:38:11.000Z,71.0,SSW,11.0
4,PHI,2.25,Jacob,772dc88a-0c6d-40c3-b176-ed8a791bf108,49,Arrieta,1.0,Jake,3.0,0,,0,2142e1ba-3b40-445c-b8bb-f1f8b1054220,9,Philadelphia,Phillies,2.25,Jacob,772dc88a-0c6d-40c3-b176-ed8a791bf108,49,Arrieta,1.0,Jake,3.0,0,,,,,,,,,,12,2142e1ba-3b40-445c-b8bb-f1f8b1054220,ESPN,full,N,False,1,NYM,4.959,Steven,03fda22a-f8a3-45e8-80dc-bf8190a22020,32,Matz,1.0,Steven,1.0,0,,0,f246a5e5-afdb-479c-9aaa-c68beeda7af6,10,New York,Mets,4.959,Steven,03fda22a-f8a3-45e8-80dc-bf8190a22020,32,Matz,1.0,Steven,1.0,0,,,,,,,,,,11,f246a5e5-afdb-479c-9aaa-c68beeda7af6,bb06ba75-59bf-41f1-93e0-97df7c1882e2,,,,,,,0.0,B,,,,,,,,,,,,,,,,,,,,,2019-04-22T23:10:00+00:00,wdelay,123-01 Roosevelt Avenue,41922,"Flushing, Queens",USA,NE,265c7d6c-427a-4b8a-8def-392c41954bec,40.7564124,-73.84589369999999,New York,Citi Field,outdoor,NY,grass,11368,,,,,,,,,64.0,Patchy rain possible,51.0,49.0,2019-04-22T11:38:12.000Z,71.0,ESE,6.0
5,DET,,,,,,,,,0,,0,575c19b7-4052-41c2-9f0a-1c5813d02f99,10,Detroit,Tigers,,,,,,,,,0,,,,,,,,,,10,575c19b7-4052-41c2-9f0a-1c5813d02f99,NESN,full,D,True,1,BOS,,,,,,,,,0,,0,93941372-eb4c-4c40-aced-fe3267174393,13,Boston,Red Sox,8.5,Christopher,66c43b7f-760a-446c-9f50-671915570227,41,Sale,4.0,Chris,0.0,0,,,,,,,,,,9,93941372-eb4c-4c40-aced-fe3267174393,ea0930b3-9142-477d-ae39-8d65f4b22667,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{'from': '2019-04-22T23:10:00+00:00', 'reason': 'postponed'}]",2019-04-23T17:05:00+00:00,scheduled,4 Yawkey Way,37731,Boston,USA,NE,b27b0dc5-c2c5-401d-b8b9-a6a2dbc225e5,42.34584359999999,-71.09878189999999,Boston,Fenway Park,outdoor,MA,grass,02215,,,,,,,,,,,,,,,,
6,TEX,,,,,,,,,0,,0,d99f919b-1534-4516-8e8a-9cd106c6d8cd,8,Texas,Rangers,2.602,Michael,f7188ee3-cf88-4a71-9b62-601ff63d9fe7,23,Minor,1.0,Mike,2.0,0,,,,,,,,,,12,d99f919b-1534-4516-8e8a-9cd106c6d8cd,NBCS-CA,full,N,False,1,OAK,,,,,,,,,0,,0,27a59d3b-ff7c-48ea-b016-4798f560f5e1,13,Oakland,Athletics,,Christopher,90fa044f-7148-414c-af09-e0d4eb621775,40,Bassitt,,Chris,,0,,,,,,,,,,11,27a59d3b-ff7c-48ea-b016-4798f560f5e1,bd7db164-035b-4aca-91db-e16003a52562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-23T02:07:00+00:00,scheduled,7000 Coliseum Way,46765,Oakland,USA,NE,48cbd35a-d932-4a75-beab-067bfbacfc26,37.7503423,-122.2028058,Oakland,Oakland-Alameda County Coliseum,outdoor,CA,grass,94621,,,,,,,,,1.0,Partly cloudy,53.0,47.0,2019-04-22T11:38:12.000Z,75.0,W,7.0
7,MIL,,Adrian,8156bec7-9689-46d6-9b0f-eddf7240d9a3,37,Houser,,Adrian,,0,,0,dcfd5266-00ce-442c-bc09-264cd20cf455,10,Milwaukee,Brewers,,Adrian,8156bec7-9689-46d6-9b0f-eddf7240d9a3,37,Houser,,Adrian,,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}]",,Adrian,8156bec7-9689-46d6-9b0f-eddf7240d9a3,37,Houser,,Adrian,,13,dcfd5266-00ce-442c-bc09-264cd20cf455,FS-MW,full,N,False,1,STL,5.0,Jack,9c506364-e0fa-45b9-9313-16f6e87e0327,22,Flaherty,1.0,Jack,1.0,0,,1,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,9,St. Louis,Cardinals,5.0,Jack,9c506364-e0fa-45b9-9313-16f6e87e0327,22,Flaherty,1.0,Jack,1.0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 'X', 'hits': 'X', 'errors': 'X', 'type': 'inning'}]",5.0,Jack,9c506364-e0fa-45b9-9313-16f6e87e0327,22,Flaherty,1.0,Jack,1.0,12,44671792-dc02-4fdd-a5ad-f5f17edaa9d7,d5dd9ec0-b5df-48e7-9aaf-f311fb9b8976,2.0,True,2.0,T,3.0,2.0,2.0,T,True,Eric,9c2336db-77ad-408a-91be-a2bd4694a107,7,Thames,oGO,Eric,Jack,9c506364-e0fa-45b9-9313-16f6e87e0327,22,Flaherty,96.0,FA,-123.0,-34.0,13.0,Jack,,half_over,,2019-04-22T23:45:00+00:00,inprogress,700 Clark Street,45538,St. Louis,USA,NE,83cc591a-1096-4383-a6ca-e2bd6f8db629,38.6226441,-90.1928125,St. Louis,Busch Stadium,outdoor,MO,grass,63102,0.0,Sunny,55.0,44.0,2019-04-23T00:00:31.000Z,79.0,SSE,13.0,0.0,Sunny,55.0,44.0,2019-04-22T23:53:39.000Z,79.0,SSE,13.0
8,ARI,6.261,Zachary,4dabf1e0-871d-40ac-b522-4fd93af6b54d,52,Godley,1.0,Zack,1.0,0,"[{'hitter_id': '178af28f-f5bb-49e1-9770-71d6e39edb63', 'pitcher_id': '9c12832b-c487-40d4-915b-e44097632d7c', 'inning': 3, 'inning_half': 'T', 'type': 'pitch', 'hitter_outcome': 'aHR', 'id': '778f0c47-2bdf-4f02-b781-2e84bd669813', 'runners': [{'starting_base': 0, 'first_name': 'Eduardo', 'last_name': 'Escobar', 'preferred_name': 'Eduardo', 'jersey_number': '5', 'id': '178af28f-f5bb-49e1-9770-71d6e39edb63'}]}]",3,25507be1-6a68-4267-bd82-e097d94b359b,11,Arizona,Diamondbacks,6.261,Zachary,4dabf1e0-871d-40ac-b522-4fd93af6b54d,52,Godley,1.0,Zack,1.0,1,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 1, 'hits': 1, 'errors': 0, 'type': 'inning'}]",6.261,Zachary,4dabf1e0-871d-40ac-b522-4fd93af6b54d,52,Godley,1.0,Zack,1.0,11,25507be1-6a68-4267-bd82-e097d94b359b,SportsNet PT,full,N,False,1,PIT,0.806,Joseph,9c12832b-c487-40d4-915b-e44097632d7c,59,Musgrove,1.0,Joe,1.0,0,,2,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,7,Pittsburgh,Pirates,0.806,Joseph,9c12832b-c487-40d4-915b-e44097632d7c,59,Musgrove,1.0,Joe,1.0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}]",0.806,Joseph,9c12832b-c487-40d4-915b-e44097632d7c,59,Musgrove,1.0,Joe,1.0,12,481dfe7e-5dab-46ab-a49f-9dcc2b6e2cfd,870e9441-714d-4b33-9a9b-a557f8a3c613,1.0,False,3.0,B,0.0,0.0,3.0,B,False,Joshua,49edaec4-ea7c-455b-ac2c-92961b4261f0,55,Bell,bB,Josh,Zachary,4dabf1e0-871d-40ac-b522-4fd93af6b54d,52,Godley,,,,,,Zack,"[{'preferred_name': 'Gregory', 'first_name': 'Gregory', 'last_name': 'Polanco', 'jersey_number': '25', 'id': 'f772223f-2fbe-4191-aa67-6f495b4c7dd8', 'outcome_id': '', 'starting_base': 1, 'ending_base': 1, 'out': False}]",pitch,,2019-04-22T23:05:00+00:00,inprogress,115 Federal Street,38362,Pittsburgh,USA,E,61314394-c8b8-411e-b891-ca41285d5362,40.4471507,-80.0064087,Pittsburgh,PNC Park,outdoor,PA,grass,15212,0.0,Sunny,45.0,47.0,2019-04-23T00:02:35.000Z,66.0,N,0.0,0.0,Sunny,45.0,47.0,2019-04-23T00:02:35.000Z,66.0,N,0.0
9,CWS,3.484,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,0.0,Manny,1.0,0,,1,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,12,Chicago,White Sox,3.484,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,0.0,Manny,1.0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 4, 'sequence': 4, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}]",3.484,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,0.0,Manny,1.0,8,47f490cd-2f58-4ef7-9dfd-2ad6ba6c1ae8,MASN,full,N,False,1,BAL,5.571,David,2c5eadce-5353-4a41-8ca3-2cc7b2103862,41,Hess,3.0,David,1.0,0,,3,75729d34-bca7-4a0f-b3df-6f26c6ad3719,15,Baltimore,Orioles,5.571,David,2c5eadce-5353-4a41-8ca3-2cc7b2103862,41,Hess,3.0,David,1.0,0,"[{'number': 1, 'sequence': 1, 'runs': 0, 'hits': 2, 'errors': 0, 'type': 'inning'}, {'number': 2, 'sequence': 2, 'runs': 0, 'hits': 1, 'errors': 0, 'type': 'inning'}, {'number': 3, 'sequence': 3, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}, {'number': 4, 'sequence': 4, 'runs': 0, 'hits': 0, 'errors': 0, 'type': 'inning'}]",5.571,David,2c5eadce-5353-4a41-8ca3-2cc7b2103862,41,Hess,3.0,David,1.0,8,75729d34-bca7-4a0f-b3df-6f26c6ad3719,58f91f01-9add-4aa3-9d24-ef15bfb7651d,4.0,False,4.0,B,0.0,2.0,4.0,B,True,Renato,61108ac6-8463-4aed-b311-1158f88536c0,39,Núñez,bB,Renato,Manuel,d5dbdb5c-1161-4e98-9c18-a52c0f4dc9f0,58,Bañuelos,91.0,FA,158.0,-104.0,11.0,Manny,"[{'preferred_name': 'Renato', 'first_name': 'Renato', 'last_name': 'Núñez', 'jersey_number': '39', 'id': '61108ac6-8463-4aed-b311-1158f88536c0', 'outcome_id': 'AD1', 'starting_base': 0, 'ending_base': 1, 'out': False}]",pitch,,2019-04-22T23:05:00+00:00,inprogress,333 West Camden Street,45971,Baltimore,USA,NE,434aa63c-1049-4a54-a6bc-3790c7772ee1,39.2840361,-76.619919,Baltimore,Oriole Park at Camden Yards,outdoor,MD,grass,21201,75.0,Partly cloudy,47.0,42.0,2019-04-23T00:02:12.000Z,71.0,NW,9.0,75.0,Partly cloudy,46.0,41.0,2019-04-22T23:13:28.000Z,72.0,NW,11.0
