,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity
10,KC,HOU,5,8,8.912935179528022,9.5,2.0,14.5,UNDER,12.5
5,MIA,CHC,5,8,10.566692050696211,8.0,15.0,3.5,OVER,11.5
13,MIN,TOR,5,8,9.141997780384967,9.0,3.0,12.0,UNDER,9.0
1,LAA,DET,5,8,9.66219026228253,8.0,9.0,3.5,OVER,5.5
12,BOS,BAL,5,8,10.175363184916408,8.5,13.0,8.0,OVER,5.0
7,ATL,LAD,5,8,9.644332798301948,8.0,8.0,3.5,OVER,4.5
4,PHI,STL,5,8,9.20134635528968,8.5,4.0,8.0,UNDER,4.0
14,CWS,CLE,5,8,10.004332015162248,8.5,12.0,8.0,OVER,4.0
9,NYM,SD,5,8,9.606009143913854,8.0,7.0,3.5,OVER,3.5
2,WSH,MIL,5,8,9.32130450567494,8.5,5.0,8.0,UNDER,3.0
0,CIN,OAK,5,8,9.485039875458348,8.5,6.0,8.0,UNDER,2.0
11,TEX,PIT,5,8,9.757959647027,9.0,10.0,12.0,UNDER,2.0
6,SEA,NYY,5,8,9.860409074435259,9.0,11.0,12.0,UNDER,1.0
8,SF,COL,5,8,10.34499257126944,9.5,14.0,14.5,UNDER,0.5
3,ARI,TB,5,8,8.732352393757054,7.5,1.0,1.0,OVER,0.0
