,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity
2,MIA,WSH,5,27,10.5656407882326,8.0,13.0,3.0,OVER,10.0
7,SD,NYY,5,27,9.783542941965127,10.0,5.0,11.5,UNDER,6.5
9,NYM,LAD,5,27,9.885272129898558,6.5,7.0,1.0,OVER,6.0
11,TEX,SEA,5,27,9.156379399833929,9.5,2.0,8.0,UNDER,6.0
13,ARI,COL,5,27,9.832869824737596,10.0,6.0,11.5,UNDER,5.5
0,PIT,CIN,5,27,10.31900929409151,9.5,12.0,8.0,OVER,4.0
10,MIL,MIN,5,27,9.629597254924905,9.5,4.0,8.0,UNDER,4.0
4,LAA,OAK,5,27,9.96682900316935,9.0,8.0,5.0,OVER,3.0
1,DET,BAL,5,27,10.158663620814545,9.5,10.0,8.0,OVER,2.0
5,CHC,HOU,5,27,8.742282079634782,8.0,1.0,3.0,UNDER,2.0
6,CLE,BOS,5,27,10.201236207053325,10.5,11.0,13.0,UNDER,2.0
8,KC,CWS,5,27,10.102728816134158,9.5,9.0,8.0,OVER,1.0
3,TOR,TB,5,27,9.540180778576458,8.0,3.0,3.0,OVER,0.0
