,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity
9,NYM,SD,5,6,10.314907356287701,6.5,8.0,1.0,OVER,7.0
10,MIN,TOR,5,6,8.442776377338044,8.5,1.0,8.0,UNDER,7.0
7,MIA,CHC,5,6,10.193715656230957,7.0,7.0,2.0,OVER,5.0
1,KC,HOU,5,6,8.517737831883634,8.0,2.0,6.0,UNDER,4.0
8,PHI,STL,5,6,10.046530358682054,9.0,6.0,10.0,UNDER,4.0
2,SF,CIN,5,6,10.374962159631803,8.0,9.0,6.0,OVER,3.0
0,CWS,CLE,5,6,10.806854046766691,9.0,11.0,10.0,OVER,1.0
3,ATL,LAD,5,6,9.87239013065552,8.0,5.0,6.0,UNDER,1.0
6,WSH,MIL,5,6,9.359157984318252,7.5,4.0,3.5,OVER,0.5
11,ARI,TB,5,6,8.590296539489524,7.5,3.0,3.5,UNDER,0.5
4,SEA,NYY,5,6,10.634874616592539,9.0,10.0,10.0,OVER,0.0
