,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity
12,CHC,SEA,5,1,9.496805719512825,9.0,4.0,11.5,UNDER,7.5
1,STL,WSH,5,1,10.134991646047135,7.5,11.0,4.5,OVER,6.5
8,DET,PHI,5,1,10.319923936471584,8.0,12.0,6.5,OVER,5.5
2,COL,MIL,5,1,9.630700327178442,9.0,7.0,11.5,UNDER,4.5
0,HOU,MIN,5,1,9.995372533294557,9.0,9.0,11.5,UNDER,2.5
3,BAL,CWS,5,1,10.425112679771377,9.0,13.0,11.5,OVER,1.5
9,TB,KC,5,1,10.100526384761354,8.5,10.0,8.5,OVER,1.5
10,BAL,CWS,5,1,9.886334752452727,8.5,8.0,8.5,UNDER,0.5
13,CIN,NYM,5,1,9.137678170690497,6.5,2.0,1.5,OVER,0.5
14,NYY,ARI,5,1,9.58060592987633,7.5,5.0,4.5,OVER,0.5
15,TOR,LAA,5,1,9.61113850933186,8.0,6.0,6.5,UNDER,0.5
16,CLE,MIA,5,1,8.908074931645036,6.5,1.0,1.5,UNDER,0.5
6,PIT,TEX,5,1,11.09971934722186,10.5,15.0,15.0,OVER,0.0
7,LAD,SF,5,1,9.167088384544925,7.0,3.0,3.0,OVER,0.0
11,OAK,BOS,5,1,10.67813418707139,9.5,14.0,14.0,OVER,0.0
