,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity
6,STL,CHC,6,9,10.901610205663083,8.0,13.0,4.0,OVER,9.0
7,MIN,DET,6,9,9.171293599294762,9.5,4.0,11.5,UNDER,7.5
11,ARI,TOR,6,9,9.043327513805442,9.0,3.0,9.0,UNDER,6.0
10,CIN,PHI,6,9,10.705455693858484,8.5,12.0,7.0,OVER,5.0
14,BAL,HOU,6,9,8.994379945261313,8.5,2.0,7.0,UNDER,5.0
0,PIT,MIL,6,9,9.59811666635331,9.5,7.0,11.5,UNDER,4.5
1,WSH,SD,6,9,9.761723938463302,8.0,8.0,4.0,OVER,4.0
2,TB,BOS,6,9,10.579180916769381,8.5,11.0,7.0,OVER,4.0
9,LAD,SF,6,9,9.40104853440825,7.5,5.0,1.5,OVER,3.5
8,CWS,KC,6,9,9.9074173179587,9.5,9.0,11.5,UNDER,2.5
3,COL,NYM,6,9,9.473079669288065,8.0,6.0,4.0,OVER,2.0
13,NYY,CLE,6,9,10.511275362234777,9.5,10.0,11.5,UNDER,1.5
5,ATL,MIA,6,9,8.553946478212662,7.5,1.0,1.5,UNDER,0.5
4,OAK,TEX,6,9,11.122087449669236,11.0,14.0,14.0,OVER,0.0
