,away,home,month,day,predicted.runs,bookie,predicted.run.rank,predicted.bookie.rank,the.bet,betting.opportunity
0,CWS,MIN,5,24,10.971701915751472,6666.0,13.0,7.0,OVER,6.0
7,DET,NYM,5,24,8.0467515497851,6666.0,1.0,7.0,UNDER,6.0
5,CIN,CHC,5,24,10.420181658723171,6666.0,12.0,7.0,OVER,5.0
6,BOS,HOU,5,24,8.31082825246899,6666.0,2.0,7.0,UNDER,5.0
2,BAL,COL,5,24,10.395270134600283,6666.0,11.0,7.0,OVER,4.0
4,PHI,MIL,5,24,8.479078349316794,6666.0,3.0,7.0,UNDER,4.0
11,SD,TOR,5,24,8.580141293214643,6666.0,4.0,7.0,UNDER,3.0
14,ATL,STL,5,24,10.210805766105773,6666.0,10.0,7.0,OVER,3.0
3,TB,CLE,5,24,10.066535972630492,6666.0,9.0,7.0,OVER,2.0
13,ARI,SF,5,24,8.663764575208015,6666.0,5.0,7.0,UNDER,2.0
1,SEA,OAK,5,24,9.791979041408217,6666.0,6.0,7.0,UNDER,1.0
8,NYY,KC,5,24,9.939867775195822,6666.0,8.0,7.0,OVER,1.0
10,TEX,LAA,5,24,9.904112816698449,6666.0,7.0,7.0,OVER,0.0
